cookie,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,priority,Flow Bytes/s,Flow Packets/s,Average Packet Size,switch,timestamp,collection_time,label
0x0,20.27,3,238,1,11.74148988653182,0.1480019733596448,79.33333333333333,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.269,2,140,1,6.907099511569392,0.09867285016527703,70.0,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.257,3,238,1,11.74902502838525,0.14809695413930984,79.33333333333333,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.255,2,140,1,6.911873611453962,0.09874105159219947,70.0,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.241,3,238,1,11.758312336347018,0.148214021046391,79.33333333333333,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.24,2,140,1,6.916996047430831,0.09881422924901187,70.0,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.23,3,238,1,11.76470588235294,0.14829461196243202,79.33333333333333,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.227,2,140,1,6.921441637415336,0.09887773767736194,70.0,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.366,44,3296,0,161.83835804772662,2.1604635176274183,74.9090909090909,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.284,2,140,1,6.901991717609939,0.09859988168014198,70.0,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.275,3,238,1,11.738594327990137,0.14796547472256474,79.33333333333333,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.271,2,140,1,6.906418035617384,0.09866311479453406,70.0,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.26,3,238,1,11.747285291214215,0.14807502467917077,79.33333333333333,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.255,2,140,1,6.911873611453962,0.09874105159219947,70.0,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.25,3,238,1,11.753086419753087,0.14814814814814814,79.33333333333333,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.243,2,140,1,6.915970952921998,0.09879958504174283,70.0,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.231,3,238,1,11.764124363600414,0.14828728189412288,79.33333333333333,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.228,2,140,1,6.921099466086612,0.09887284951552303,70.0,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,20.382,44,3296,0,161.71131390442545,2.158767539986262,74.9090909090909,s2,2025-03-12 16:43:01,1741777981.7420213,BENIGN
0x0,25.321,2,140,1,5.529007543146005,0.07898582204494292,70.0,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.312,3,238,1,9.402654867256636,0.11852085967130215,79.33333333333333,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.311,2,140,1,5.531191971869938,0.07901702816957054,70.0,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
